session_id,profile,last_activity,conversation_state,created_at,updated_at
session_aps2s29ex_1776776324658,{},{},collecting_info,2026-04-21 14:10:19.452391+00,2026-04-21 14:10:19.452391+00
session_aq60eevi1_1776631894138,"{""grade"": """", ""stage"": ""Primaria"", ""topic"": """", ""subject"": ""Matemáticas"", ""duration"": ""15 min"", ""groupMode"": """", ""objective"": """", ""resources"": """", ""specialNeed"": """"}","{""steps"": [""Dividir la clase en equipos de 4-5 estudiantes."", ""El maestro plantea una operación mental (por ejemplo, 27 + 15) y los equipos deben escribir la respuesta en una pizarra pequeña."", ""El primer equipo que levante la pizarra con la respuesta correcta gana un punto."", ""Repetir el proceso con diferentes operaciones durante 12 minutos."", ""En los últimos 3 minutos, hacer una breve retroalimentación de los errores más comunes.""], ""title"": ""Juego de mental math"", ""duration"": ""15 min"", ""materials"": [""Pizarras pequeñas o hojas de papel"", ""Marcadores o lápices"", ""Reloj o cronómetro""], ""evaluation"": ""Observar la velocidad y precisión de las respuestas; anotar los tipos de errores para reforzar en futuras lecciones."", ""description"": ""Los estudiantes practican cálculos mentales de suma y resta mediante un juego rápido y dinámico.""}",generated,2026-04-19 21:00:30.796426+00,2026-04-19 21:00:30.796426+00
session_e8wlv1rax_1776782269125,{},{},collecting_info,2026-04-21 14:38:15.134535+00,2026-04-21 14:38:15.134535+00
session_f9xb7x666_1776785532228,"{""grade"": ""primaria"", ""stage"": ""preparation"", ""topic"": ""fracciones"", ""subject"": ""matemáticas"", ""duration"": ""30 min"", ""groupMode"": ""individual"", ""objective"": ""Entender y aplicar operaciones básicas con fracciones en un contexto de 30 estudiantes de diferentes niveles."", ""resources"": [], ""specialNeed"": """"}","{""title"": ""Desafío de Fracciones"", ""questions"": [{""type"": ""fraction_addition"", ""options"": [""3/8"", ""2/8"", ""5/8"", ""7/8""], ""question"": ""¿Cuánto es 1/4 + 1/8?"", ""correct_answer"": ""3/8""}, {""type"": ""fraction_subtraction"", ""options"": [""3/4"", ""2/4"", ""5/4"", ""7/4""], ""question"": ""¿Cuánto es 1 - 1/4?"", ""correct_answer"": ""3/4""}, {""type"": ""fraction_mixed"", ""options"": [""9/8"", ""7/8"", ""5/8"", ""3/8""], ""question"": ""¿Cuánto es 1 y 1/2 + 1/8?"", ""correct_answer"": ""9/8""}], ""description"": ""Resuelve las siguientes operaciones para completar el desafío. Recuerda que todo debe ser igual de tamaño."", ""instructions"": ""Lee las instrucciones con atención. Usa tu lápiz para escribir la respuesta correcta en el recuadro.""}",generated,2026-04-21 15:34:02.021935+00,2026-04-21 15:34:02.021935+00
session_gexfbd333_1776804667694,"{""grade"": ""infantil"", ""stage"": ""preparation"", ""topic"": ""construcción de oraciones"", ""subject"": ""lengua"", ""duration"": ""90 min"", ""groupMode"": ""individual"", ""objective"": ""que los estudiantes reconozcan y usen conectores lógicos para mejorar el flujo de sus expresiones"", ""resources"": [""papel y lápiz"", ""tarjetas con conectores (pero, porque, aunque)"", ""hojas de papel tamaño carta""], ""specialNeed"": """"}","{""steps"": [{""instruction"": ""Reúnanse en grupos pequeños de 4-5 personas. Distribuyan las tarjetas de conectores y las hojas de papel tamaño carta a cada estudiante."", ""step_number"": 1}, {""instruction"": ""Dejen que los estudiantes elijan un tema personal (por ejemplo: 'Mi perro', 'El clima hoy', 'Nuestras vacaciones') y comiencen a escribir una oración inicial sobre ese tema."", ""step_number"": 2}, {""instruction"": ""Adicione al menos dos conectores lógicos para mejorar el flujo de la oración. Por ejemplo: 'Mi perro es grande porque tiene cuatro patas y un pelaje suave.' o 'Aunque es frío, nos divertimos mucho jugando en el parque.'."", ""step_number"": 3}, {""instruction"": ""Revise su oración con sus compañeros para asegurarse de que sea gramaticalmente correcta y tenga sentido. Si hay dudas, pregúntense: ¿Por qué usamos este conecto? ¿Cómo ayuda a conectar ideas?"", ""step_number"": 4}, {""instruction"": ""Presenten su oración final en voz alta para que todos puedan escucharla y evaluar la fluidez de sus expresiones."", ""step_number"": 5}], ""title"": ""Construyendo Oraciones Mágicas"", ""description"": ""En esta actividad, los estudiantes trabajarán en grupos pequeños de 4-5 personas para crear oraciones completas utilizando conectores lógicos proporcionados. Cada estudiante recibirá una hoja de papel tamaño carta y tarjetas con conectores específicos (pero, porque, aunque) para usar durante la creación de sus oraciones."", ""resources_needed"": [""Hojas de papel tamaño carta"", ""Tarjetas con conectores (pero, porque, aunque)""]}",generated,2026-04-21 20:51:27.302555+00,2026-04-21 20:51:27.302555+00
session_qa4f2f1wh_1776704082462,"{""grade"": """", ""stage"": ""Primaria"", ""topic"": """", ""subject"": ""Matemáticas"", ""duration"": ""30 min"", ""groupMode"": """", ""objective"": """", ""resources"": """", ""specialNeed"": """"}",{},generated,2026-04-20 17:05:53.003107+00,2026-04-20 17:05:53.003107+00
session_qwb9p1ng6_1776806027604,"{""grade"": ""bachillerato"", ""stage"": ""actividad"", ""topic"": ""uso de las manos en el aprendizaje"", ""subject"": ""ingles"", ""duration"": ""30 min"", ""groupMode"": ""individual"", ""objective"": ""que los estudiantes exploren y utilicen las manos para mejorar su comprensión lectora y retención de información durante una lección de inglés."", ""resources"": [], ""specialNeed"": """"}","{""title"": ""Gesturing to Read"", ""passage"": ""The sun was shining brightly in the park. Children played happily on the grass. A dog chased a ball through the trees."", ""questions"": [""How do you feel when the sun is shining?"", ""What are the children doing?"", ""Where does the dog go?""], ""instructions"": ""Read the following passage aloud. After each sentence, pause and use your hands to gesture what you are thinking or feeling about that part of the text.""}",generated,2026-04-21 21:14:13.393917+00,2026-04-21 21:14:13.393917+00
session_tu54lj9h7_1776782516512,{},{},collecting_info,2026-04-21 14:42:18.458944+00,2026-04-21 14:42:18.458944+00
session_wn219t2pj_1776782946831,"{""grade"": ""infantil"", ""stage"": ""preparation"", ""topic"": ""operaciones con números naturales"", ""subject"": ""matematicas"", ""duration"": ""15 min"", ""groupMode"": ""individual"", ""objective"": ""que los estudiantes practiquen la suma y resta de números hasta 10 utilizando estrategias visuales."", ""resources"": [""tarjetas numéricas"", ""pizarón"", ""marcadores""], ""specialNeed"": """"}","{""title"": ""El Juego de las Manzanas"", ""topic"": ""Operaciones con números naturales"", ""subject"": ""Matemáticas"", ""objective"": ""Que los estudiantes practiquen la suma y resta de números hasta 10 utilizando estrategias visuales."", ""description"": ""Nuestro objetivo es que los estudiantes practiquen la suma y resta utilizando imágenes. En esta actividad, cada estudiante recibirá un marcador y una tarjeta con números. Su tarea será asociar correctamente el número de manzanas en la imagen con la operación correspondiente."", ""instructions"": [""Lee el número de manzanas que se muestran en la imagen."", ""Si hay más manzanas, realiza la suma (ej: 3 + 4)."", ""Si hay menos manzanas después de restar, realiza la resta (ej: 5 - 1)."", ""Escribe el resultado en tu cuaderno."", ""Compara con tu compañero o profesor.""], ""difficulty_level"": ""Básico"", ""resources_required"": [""Tarjetas numéricas"", ""Pizarón"", ""Marcadores""], ""estimated_time_minutes"": 15}",generated,2026-04-21 14:49:24.587263+00,2026-04-21 14:58:44.68779+00
session_yp2z3fjeg_1776783738376,"{""grade"": ""Primaria"", ""stage"": ""Pre-actividad"", ""topic"": ""Ciclo del agua"", ""subject"": ""Ciencias"", ""duration"": ""90 min"", ""groupMode"": ""Individual"", ""objective"": ""Los estudiantes identificarán las fases principales del ciclo del agua y describirán cómo se mueve el agua en un entorno natural."", ""resources"": [""Diagrama interactivo del ciclo del agua"", ""Tarjetas con imágenes de las fases (evaporación, condensación, precipitación)"", ""Pizarra y marcadores""], ""specialNeed"": """"}","{""type"": ""Interactive Quiz"", ""tasks"": [""Identificar la fase de evaporación (cuando el agua pasa a la atmósfera)"", ""Identificar la fase de condensación (formación de nubes)"", ""Identificar la fase de precipitación (lluvia o nieve)""], ""resources"": [""Diagrama interactivo del ciclo del agua"", ""Tarjetas con imágenes de las fases""], ""instructions"": ""Observa el diagrama interactivo del ciclo del agua. Identifica cada fase y selecciona la descripción correcta sobre cómo se mueve el agua en un entorno natural.""}",generated,2026-04-21 15:02:40.139608+00,2026-04-21 15:02:40.139608+00
